Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00026343,-1.5535E-11,0.0056311,0,0,0,0.62938,0.0021443,5.5259E-11,-1.8826E-05,0.0022725,-4.0514E-15,0.0042455,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,than-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rim_front_left_Link,-8.3267E-17,-1.6653E-16,0.013812,0,0,0,0.045828,7.9435E-06,1.1537E-20,1.2705E-21,7.9435E-06,9.3167E-21,1.5567E-05,0,0,0,0,0,0,package://urdf/meshes/rim_front_left_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf/meshes/rim_front_left_Link.STL,,My Omni-1/inner R-1;My Omni-1/outer R-1;My Omni-1/outer R-2;My Omni-1/inner L - Copy-1;My Omni-1/outer L- Copy-1;My Omni-1/outer L- Copy-2;My Omni-1/pinnnn-1;My Omni-1/pinnnn-20;My Omni-1/pinnnn-21;My Omni-1/pinnnn-22;My Omni-1/pinnnn-23;My Omni-1/pinnnn-24;My Omni-1/pinnnn-25;My Omni-1/pinnnn-26;My Omni-1/MIddle-1,Origin_rim_front_left_joint,Axis_rim_front_left_joint,rim_front_left_joint,continuous,0.11977,0.12038,-0.0255,1.5708,0,-0.7854,base_link,0,0,1,,,,,,,0.01,0.01,,,,
roller_e_rim_front_left_link,2.7756E-17,0,0,0,0,0,0.0066143,5.5362E-07,-2.647E-23,-3.3796E-09,5.5367E-07,-7.8727E-23,3.1857E-07,0,0,0,0,0,0,package://urdf/meshes/roller_e_rim_front_left_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://urdf/meshes/roller_e_rim_front_left_link.STL,,My Omni-1/Rubber-22,Origin_roller_e_rim_front_left_joint,Axis_roller_e_rim_front_left_joint,roller_e_rim_front_left_joint,continuous,-0.027497,0.00039526,0.0045,-1.5708,0,0,rim_front_left_Link,0,0,1,,,,,,,0.01,0.01,,,,
lidar_Link,0.0082941,0,-0.0085489,0,0,0,0.1467,6.2272E-05,-1.6963E-20,1.8866E-05,0.00010967,9.2597E-21,0.00012568,0,0,0,0,0,0,package://urdf/meshes/lidar_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf/meshes/lidar_Link.STL,,ydlidar x4-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,-0.00711050901810081,0,0.04625,0,0,0,base_link,0,0,0,,,,,,,0.01,0.01,,,,
cam_Link,-0.001705,-0.0001361,-0.011444,0,0,0,0.10791,7.71E-06,2.2103E-10,-1.7837E-08,7.0257E-05,4.9293E-08,7.1255E-05,0,0,0,0,0,0,package://urdf/meshes/cam_Link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf/meshes/cam_Link.STL,,RealSense_D435-1,Origin_cam_joint,Axis_cam_joint,cam_joint,fixed,0.119389490981904,0.00171624697898104,0.0889999999999961,1.5707963267949,0,1.57079632679488,base_link,0,0,0,,,,,,,0.01,0.01,,,,
gps_Link,-0.00023434,-0.00048018,-0.008094,0,0,0,0.027335,3.5557E-06,-1.4936E-08,1.0193E-08,3.6824E-06,-5.5545E-10,7.0614E-06,0,0,0,0,0,0,package://urdf/meshes/gps_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf/meshes/gps_Link.STL,,GPS модуль Ublox NEO-M8N-0-01-1,Origin_gps_joint,Axis_gps_joint,gps_joint,fixed,-0.101891690887223,0.000123009149377712,0.0281386585309423,0,0,0,base_link,0,0,0,,,,,,,0.01,0.01,,,,
de_Link,0,2.77555756156289E-17,-0.0174830384543071,0,0,0,0.327529187998142,0.00036497029704894,2.70901650611047E-20,-4.92055367938496E-20,0.00036497029704894,8.43831343727799E-20,0.0006664691117042,0,0,0,0,0,0,package://urdf/meshes/de_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf/meshes/de_Link.STL,,de_sung-1,Origin_de_joint,,de_joint,fixed,-0.00061051,0,0.104,0,0,0,base_link,0,0,0,,,,,,,0.01,0.01,,,,
1_Link,0.002182,0.0093368,0.020798,0,0,0,0.09842,6.5924E-05,-1.4202E-06,6.6287E-08,6.0179E-05,2.8365E-07,5.423E-05,0,0,0,0,0,0,package://urdf/meshes/1_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf/meshes/1_Link.STL,,join_1-1,Origin_1_joint,Axis_1_joint,1_joint,revolute,-0.001338,-0.0057253,0.025,0,0,0,de_Link,0,0,1,0,0,0,0,,,0.01,0.01,,,,
2_link,-0.024115,0.076424,0.0225,0,0,0,0.53988,0.0048113,-0.0024174,1.0842E-19,0.0017825,2.387E-19,0.0062046,0,0,0,0,0,0,package://urdf/meshes/2_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf/meshes/2_link.STL,,joint_2-1,Origin_2_joint,Axis_2_joint,2_joint,revolute,0.0064582,0.027635,0.02,1.5708,0,-0.22958,1_Link,0,0,1,0,0,0,0,,,0.01,0.01,,,,
