Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.58799640104235E-11,-0.000464863971802038,0.0444073682839831,0,0,0,0.615690614183015,0.00215335797512154,-5.52594729221072E-11,-4.05564939713034E-15,0.00212653814198316,7.11117053941948E-06,0.00412087901791831,0,0,0,0,0,0,package://urdf_2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_2/meshes/base_link.STL,,than-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_r_f,5.5511E-17,-2.7756E-17,-2.7756E-16,0,0,0,0.037821,2.8505E-06,-6.0873E-22,-1.0588E-22,2.8505E-06,2.9457E-22,5.1981E-06,0,0,0,0,0,0,package://urdf_2/meshes/link_r_f.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_2/meshes/link_r_f.STL,,omni-1,Origin_joint_r_f,Axis_joint_r_f,joint_r_f,continuous,-0.10129,-0.10129,0.0145,-1.5708,0,-0.7854,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_l_f,1.3878E-16,-4.1633E-17,-0.056935,0,0,0,0.037821,2.8505E-06,1.5387E-22,9.5291E-22,2.8505E-06,-3.1108E-22,5.1981E-06,0,0,0,0,0,0,package://urdf_2/meshes/link_l_f.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_2/meshes/link_l_f.STL,,omni-2,Origin_joint_l_f,Axis_joint_l_f,joint_l_f,continuous,0.06103,-0.06103,0.0145,-1.5708,0,0.7854,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_r_b,-3.4694E-17,-4.1633E-17,0.059026,0,0,0,0.037821,2.8505E-06,2.1839E-21,1.1647E-21,2.8505E-06,-5.6364E-22,5.1981E-06,0,0,0,0,0,0,package://urdf_2/meshes/link_r_b.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_2/meshes/link_r_b.STL,,omni-4,Origin_joint_r_b,Axis_joint_r_b,joint_r_b,continuous,-0.14303,0.14303,0.0145,-1.5708,0,-2.3562,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_l_b,0,-2.77555756156289E-17,-3.88578058618805E-16,0,0,0,0.0378207576868009,2.85049643711786E-06,-6.04988412037867E-21,-1.79994501291539E-21,2.85049643711785E-06,-8.44159696221407E-22,5.19808205118169E-06,0,0,0,0,0,0,package://urdf_2/meshes/link_l_b.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_2/meshes/link_l_b.STL,,omni-3,Origin_joint_l_b,Axis_joint_l_b,joint_l_b,continuous,0.10129,0.10129,0.0145,-1.5708,0,2.3562,base_link,0,0,1,,,,,,,0.1,0.1,,,,
link_lidar,1.6653E-16,-0.0082941,0.010701,0,0,0,0.1467,0.00010967,1.0362E-18,4.1515E-19,6.2272E-05,-1.8866E-05,0.00012568,0,0,0,0,0,0,package://urdf_2/meshes/link_lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_2/meshes/link_lidar.STL,,ydlidar x4-1,Origin_joint_lidar,,joint_lidar,fixed,0,0.0065,0.067,0,0,0,base_link,0,0,0,,,,,,,0.1,0.1,,,,
link_cam,0.0089859,-0.028493,0.01445,0,0,0,0.0029632,9.9469E-08,3.6109E-11,-2.1857E-10,1.3658E-07,3.6925E-11,1.1667E-07,0,0,0,0,0,0,package://urdf_2/meshes/link_cam.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_2/meshes/link_cam.STL,,Camera Module Assem-1,Origin_joint_cam,,joint_cam,fixed,-0.0089736,-0.076489,0.11615,0,0,0,base_link,0,0,0,,,,,,,0.1,0.1,,,,
